acting,27
split,27
giving,27
Lord,27
guns,27
count,27
arm,27
anymore,27
hang,27
smell,27
across,27
state,27
Mama,27
everywhere,27
less,27
Only,27
1],27
bat,27
walked,27
speak,26
hip-hop,26
[Hook],26
loud,26
blue,26
ring,26
2X,26
clear,26
double,26
person,26
bunch,26
course,26
win,26
[Eminem,26
book,26
admit,26
crying,26
brains,26
snap,26
Sing,26
clouds,26
parents,26
Grab,26
dirt,26
police,25
stab,25
Good,25
doubt,25
Remember,25
threw,25
number,25
apart,25
locked,25
harder,25
ear,25
Better,25
Little,25
tellin,25
keeps,25
twenty,25
pictures,25
week,25
cause,25
worst,25
hip,25
livin,25
mirror,25
become,25
whore,25
sweet,25
runnin,25
men,25
dust,25
Black,25
ourselves,25
ago,25
Going,25
story,25
lead,25
coke,25
excuse,25
taste,25
haters,25
kicked,25
destroy,25
foot,25
stuff,24
Gotta,24
Darling,24
brother,24
read,24
starts,24
cash,24
Tonight,24
Be,24
sex,24
Stan,24
finally,24
shell,24
liquor,24
jail,24
hood,24
minutes,24
Which,24
hundred,24
Am,24
lives,24
Whos,24
Earth,24
Whoa-ohh,24
news,24
trouble,24
Pac,24
shouldnt,24
ooh,24
momma,24
scratch,24
escape,24
blame,24
smack,24
u,24
magic,24
Same,24
blast,23
crew,23
carry,23
um,23
Down,23
normal,23
2x,23
bone,23
mask,23
small,23
starting,23
wack,23
Time,23
hospital,23
crap,23
soldiers,23
drug,23
3],23
screaming,23
pulled,23
match,23
games,23
Was,23
answer,23
others,23
knowing,23
Jimmy,23
knees,23
bullets,23
Pull,23
fed,23
family,23
clothes,23
Ready,23
la,23
longer,23
--,23
slit,23
naked,23
low,23
signed,22
bar,22
woman,22
Huh,22
toy,22
tree,22
Mom,22
died,22
witness,22
calling,22
changed,22
autograph,22
blonde,22
belong,22
picked,22
poppin,22
Youll,22
raise,22
public,22
label,22
heat,22
hole,22
bigger,22
Wanna,22
5,22
someones,22
fuckers,22
His,22
pray,22
broken,22
sign,22
Fack,22
paint,22
liar,22
[Ken,22
Big,22
safe,22
crowd,21
ways,21
lines,21
penis,21
jealous,21
hits,21
hated,21
radio,21
dude,21
cannot,21
noise,21
lit,21
After,21
chew,21
eight,21
Have,21
Probably,21
Theyre,21
[Chorus:],21
leaving,21
Think,21
clowns,21
Thought,21
switch,21
bars,21
gotten,21
collapse,21
By,21
thank,21
dads,21
rappin,21
Lil,21
Vegas,21
Ha,21
Thanks,21
rough,21
kept,21
Whatever,21
middle,21
booth,21
shirt,21
city,21
happen,21
key,21
choke,21
B,21
child,21
feat,21
somehow,20
lyrical,20
greatest,20
tone,20
[Chorus:,20
&,20
underground,20
screw,20
needs,20
dying,20
Doc,20
Since,20
Ooh,20
Ice,20
addict,20
wrapped,20
givin,20
America,20
1:],20
career,20
machine,20
older,20
White,20
speed,20
fingers,20
Trick,20
grew,20
Told,20
dangerous,20
figure,20
woke,20
finna,20
tight,20
press,20
question,20
glass,20
Try,20
finish,20
spray,20
freak,20
walls,20
psychopath,20
Turn,20
closet,20
pad,20
months,20
Will,20
Okay,20
man—ever,20
stepdad,20
Had,20
handle,20
Until,20
worth,20
phenomenal,20
brought,20
blowing,20
fucks,19
known,19
Daddy,19
glad,19
says,19
2:,19
names,19
cup,19
power,19
shady,19
valium,19
TV,19
gray,19
thinks,19
critics,19
